City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hermanus,ZA,77.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
1,Port Elizabeth,ZA,71.1,clear sky,-33.918,25.5701,39 On Nile Guest House
4,Bredasdorp,ZA,67.55,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
8,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le four à pain
9,Havelock,US,73.98,few clouds,34.8791,-76.9013,Sherwood Motel
14,Padang,ID,77.18,overcast clouds,-0.9492,100.3543,Mercure Padang
16,Atuona,PF,76.82,broken clouds,-9.8,-139.0333,Villa Enata
21,Tahta,EG,80.44,clear sky,26.7693,31.5021,فندق الزيات
23,Farafangana,MG,71.06,clear sky,-22.8167,47.8333,Miarina
25,Hithadhoo,MV,81.16,light rain,-0.6,73.0833,Scoop Guest House
26,Weatherford,US,84.67,overcast clouds,32.7593,-97.7972,Woodland Suites
27,Asyut,EG,79.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
29,Poum,NC,75.87,overcast clouds,-20.2333,164.0167,
30,Faanui,PF,77.74,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Dhidhdhoo,MV,80.74,broken clouds,6.8833,73.1,Dhidhoo beach
36,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
38,Bengkulu,ID,76.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
40,Impfondo,CG,71.89,moderate rain,1.6381,18.0667,Auberge La Place de Jules
41,Tura,IN,71.65,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
43,Pokhara,NP,68.45,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
46,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Lorengau,PG,79.2,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
48,Monrovia,LR,82.17,light rain,6.3005,-10.7969,Sunset Inn
51,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
55,Rikitea,PF,71.49,few clouds,-23.1203,-134.9692,People ThankYou
56,Butaritari,KI,81.75,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
61,Kapaa,US,72.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Katherine,AU,73.72,few clouds,-14.4667,132.2667,Pine Tree Motel
64,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
65,Sao Sebastiao,BR,72.25,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
66,Sheridan,US,72.3,clear sky,44.8333,-106.9173,Comfort Inn & Suites
69,Fomboni,KM,77.47,light rain,-12.28,43.7425,Auberge les abou
73,Kendari,ID,75.16,overcast clouds,-3.945,122.4989,Hotel Wixel
74,Pochutla,MX,87.62,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
77,Agua Verde,MX,86.09,few clouds,22.9,-106.05,
79,Biak,ID,75.99,overcast clouds,-0.9131,122.8766,Penginapan Kim
80,Praya,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
81,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
82,Cape Town,ZA,80.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
84,Xuddur,SO,83.84,broken clouds,4.1213,43.8894,Banjanay Hotel
85,Hilo,US,80.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
86,Dutse,NG,85.8,few clouds,11.7594,9.3392,Kaci
88,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
92,Kieta,PG,76.95,few clouds,-6.2167,155.6333,Uruna Bay Retreat
93,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
97,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
99,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
100,La Palma,US,73.24,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
102,Carballo,ES,66.9,overcast clouds,43.213,-8.691,Pazo do Souto
107,Bethel,US,66.88,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
109,Georgetown,MY,82.24,few clouds,5.4112,100.3354,Cititel Penang
111,Hamilton,US,71.74,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
113,Meulaboh,ID,76.89,overcast clouds,4.1363,96.1285,Kost Pria
114,Khuzdar,PK,70.92,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
116,Juba,SS,76.82,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
117,Gladstone,AU,66.13,overcast clouds,-23.85,151.25,Highpoint International Hotel
119,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
121,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
123,Hualmay,PE,67.32,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
124,Sao Filipe,CV,79.0,few clouds,14.8961,-24.4956,Hotel Xaguate
127,Kavieng,PG,80.58,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
129,Antalaha,MG,67.89,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
130,Cockburn Town,TC,83.08,clear sky,21.4612,-71.1419,Osprey Beach Hotel
131,Rincon,US,78.76,broken clouds,32.296,-81.2354,Days Inn Rincon
134,Ladario,BR,71.89,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
139,Port Alfred,ZA,68.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
142,Kannur,IN,78.01,overcast clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
143,Anloga,GH,79.92,light rain,5.7947,0.8973,Pin Drop Hotel
144,Ponta Do Sol,PT,78.01,broken clouds,32.6667,-17.1,Hotel do Campo
147,Keti Bandar,PK,83.28,clear sky,24.1447,67.4497,Haji laloo memon house
148,Sedalia,US,76.42,clear sky,38.7045,-93.2283,Best Western State Fair Inn
150,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
152,La Asuncion,VE,87.53,broken clouds,11.0333,-63.8628,Colinas de Matasiete
153,Koungheul,SN,88.61,broken clouds,13.9833,-14.8,hotel le PARADIS
154,Domoni,KM,76.42,broken clouds,-12.2569,44.5319,Al Djadid
155,Celestun,MX,86.22,overcast clouds,20.8667,-90.4,Posada Lilia
156,Tay Ninh,VN,76.1,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
157,Niteroi,BR,82.06,broken clouds,-22.8833,-43.1036,Hotel Viareggio
159,Hambantota,LK,79.0,scattered clouds,6.1241,81.1185,Bungalow 63
160,Saint George,US,75.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
161,Guerrero Negro,MX,73.54,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
162,Yulara,AU,69.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
163,Arona,ES,71.13,scattered clouds,28.0996,-16.681,Paradise Court
164,Lagoa,PT,70.79,clear sky,39.05,-27.9833,Casa Das Faias
165,Mbaiki,CF,69.84,overcast clouds,3.8678,17.9892,Motel MBM
