City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,77.81,47,100,12.01,overcast clouds
1,Port Elizabeth,ZA,-33.918,25.5701,71.1,87,0,20.71,clear sky
2,Airai,TL,-8.9266,125.4092,61.38,86,100,2.26,light rain
3,Ostrovnoy,RU,68.0531,39.5131,39.25,89,33,15.84,scattered clouds
4,Bredasdorp,ZA,-34.5322,20.0403,67.55,65,100,8.97,overcast clouds
5,Yellowknife,CA,62.456,-114.3525,54.12,66,75,10.36,broken clouds
6,La Ronge,CA,55.1001,-105.2842,64.62,36,20,13.8,few clouds
7,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,2.3,broken clouds
8,Saint-Philippe,RE,-21.3585,55.7679,72.99,77,39,9.66,scattered clouds
9,Havelock,US,34.8791,-76.9013,73.98,54,20,9.22,few clouds
10,Bluff,NZ,-46.6,168.3333,49.77,84,100,21.9,overcast clouds
11,Coquimbo,CL,-29.9533,-71.3436,58.73,72,100,9.22,overcast clouds
12,Kyakhta,RU,50.3508,106.4494,34.81,51,92,1.66,overcast clouds
13,Saskylakh,RU,71.9167,114.0833,11.17,93,95,9.4,overcast clouds
14,Padang,ID,-0.9492,100.3543,77.18,85,94,3.91,overcast clouds
15,Luderitz,NA,-26.6481,15.1594,58.84,92,82,7.43,broken clouds
16,Atuona,PF,-9.8,-139.0333,76.82,69,74,15.95,broken clouds
17,Ancud,CL,-41.8697,-73.8203,51.01,62,1,9.22,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,51.91,54,40,28.77,light rain
19,Inirida,CO,3.8653,-67.9239,94.98,45,73,1.9,broken clouds
20,Albany,US,42.6001,-73.9662,58.59,66,99,7.9,overcast clouds
21,Tahta,EG,26.7693,31.5021,80.44,33,0,9.8,clear sky
22,Mar Del Plata,AR,-38.0023,-57.5575,57.94,70,0,20.0,clear sky
23,Farafangana,MG,-22.8167,47.8333,71.06,80,0,13.53,clear sky
24,Jamestown,US,42.097,-79.2353,61.18,54,75,12.66,broken clouds
25,Hithadhoo,MV,-0.6,73.0833,81.16,77,97,17.56,light rain
26,Weatherford,US,32.7593,-97.7972,84.67,45,96,1.01,overcast clouds
